# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 330         4.122       51.992      11.90       Hoek van Holland
# P         : Luchtdruk (in 0.1 hPa) herleid naar zeeniveau; tijdens de waarneming / Air pressure (in 0.1 hPa) reduced to mean sea level; at the time of observation
 # STN,YYYYMMDD,H,    P
  330,20230902,   23,10259
  330,20230902,   24,10262
  330,20230903,    1,10258
  330,20230903,    2,10264
  330,20230903,    3,10260
  330,20230903,    4,10264
  330,20230903,    5,10267
  330,20230903,    6,10273
  330,20230903,    7,10278
  330,20230903,    8,10282
  330,20230903,    9,10282
  330,20230903,   10,10280
  330,20230903,   11,10283
  330,20230903,   12,10286
  330,20230903,   13,10285
  330,20230903,   14,10281
  330,20230903,   15,10281
  330,20230903,   16,10280
  330,20230903,   17,10276
  330,20230903,   18,10272
  330,20230903,   19,10272
  330,20230903,   20,10273
  330,20230903,   21,10274
  330,20230903,   22,10276
  330,20230903,   23,10277
  330,20230903,   24,10276
  330,20230904,    1,10274
  330,20230904,    2,10272
  330,20230904,    3,10268
  330,20230904,    4,10266
  330,20230904,    5,10264
  330,20230904,    6,10263
  330,20230904,    7,10263
  330,20230904,    8,10263
  330,20230904,    9,10262
  330,20230904,   10,10258
  330,20230904,   11,10254
  330,20230904,   12,10248
  330,20230904,   13,10243
  330,20230904,   14,10235
  330,20230904,   15,10233
  330,20230904,   16,10227
  330,20230904,   17,10219
  330,20230904,   18,10217
  330,20230904,   19,10215
  330,20230904,   20,10213
  330,20230904,   21,10211
  330,20230904,   22,10211
  330,20230904,   23,10209
  330,20230904,   24,10203
  330,20230905,    1,10200
  330,20230905,    2,10196
  330,20230905,    3,10194
  330,20230905,    4,10189
  330,20230905,    5,10190
  330,20230905,    6,10190
  330,20230905,    7,10189
  330,20230905,    8,10188
  330,20230905,    9,10192
  330,20230905,   10,10189
  330,20230905,   11,10185
  330,20230905,   12,10183
  330,20230905,   13,10180
  330,20230905,   14,10176
  330,20230905,   15,10173
  330,20230905,   16,10172
  330,20230905,   17,10171
  330,20230905,   18,10173
  330,20230905,   19,10179
  330,20230905,   20,10180
  330,20230905,   21,10181
  330,20230905,   22,10180
  330,20230905,   23,10180
  330,20230905,   24,10180
  330,20230906,    1,10181
  330,20230906,    2,10181
  330,20230906,    3,10183
  330,20230906,    4,10185
  330,20230906,    5,10185
  330,20230906,    6,10189
  330,20230906,    7,10193
  330,20230906,    8,10196
  330,20230906,    9,10199
  330,20230906,   10,10198
  330,20230906,   11,10198
  330,20230906,   12,10197
  330,20230906,   13,10197
  330,20230906,   14,10194
  330,20230906,   15,10193
  330,20230906,   16,10191
  330,20230906,   17,10188
  330,20230906,   18,10187
  330,20230906,   19,10192
  330,20230906,   20,10195
  330,20230906,   21,10197
  330,20230906,   22,10198
  330,20230906,   23,10195
  330,20230906,   24,10192
  330,20230907,    1,10188
  330,20230907,    2,10187
  330,20230907,    3,10186
  330,20230907,    4,10188
  330,20230907,    5,10190
  330,20230907,    6,10192
  330,20230907,    7,10193
  330,20230907,    8,10191
  330,20230907,    9,10190
  330,20230907,   10,10188
  330,20230907,   11,10187
  330,20230907,   12,10180
  330,20230907,   13,10176
  330,20230907,   14,10169
  330,20230907,   15,10169
  330,20230907,   16,10167
  330,20230907,   17,10167
  330,20230907,   18,10168
  330,20230907,   19,10171
  330,20230907,   20,10172
  330,20230907,   21,10172
  330,20230907,   22,10169
  330,20230907,   23,10165
  330,20230907,   24,10165
  330,20230908,    1,10166
  330,20230908,    2,10164
  330,20230908,    3,10162
  330,20230908,    4,10161
  330,20230908,    5,10161
  330,20230908,    6,10164
  330,20230908,    7,10165
  330,20230908,    8,10167
  330,20230908,    9,10169
  330,20230908,   10,10169
  330,20230908,   11,10170
  330,20230908,   12,10169
  330,20230908,   13,10168
  330,20230908,   14,10166
  330,20230908,   15,10164
  330,20230908,   16,10163
  330,20230908,   17,10162
  330,20230908,   18,10163
  330,20230908,   19,10168
  330,20230908,   20,10168
  330,20230908,   21,10166
  330,20230908,   22,10165
  330,20230908,   23,10166
  330,20230908,   24,10164
  330,20230909,    1,10163
  330,20230909,    2,10162
  330,20230909,    3,10160
  330,20230909,    4,10161
  330,20230909,    5,10162
  330,20230909,    6,10163
  330,20230909,    7,10167
  330,20230909,    8,10169
  330,20230909,    9,10173
  330,20230909,   10,10173
  330,20230909,   11,10173
  330,20230909,   12,10170
  330,20230909,   13,10170
  330,20230909,   14,10168
  330,20230909,   15,10166
  330,20230909,   16,10165
  330,20230909,   17,10165
  330,20230909,   18,10165
  330,20230909,   19,10167
  330,20230909,   20,10169
  330,20230909,   21,10170
  330,20230909,   22,10170
  330,20230909,   23,10169
  330,20230909,   24,10170
  330,20230910,    1,10168
  330,20230910,    2,10167
  330,20230910,    3,10166
  330,20230910,    4,10164
  330,20230910,    5,10164
  330,20230910,    6,10165
  330,20230910,    7,10170
  330,20230910,    8,10171
  330,20230910,    9,10170
  330,20230910,   10,10169
  330,20230910,   11,10168
  330,20230910,   12,10167
  330,20230910,   13,10164
  330,20230910,   14,10162
  330,20230910,   15,10157
  330,20230910,   16,10152
  330,20230910,   17,10150
  330,20230910,   18,10149
  330,20230910,   19,10148
  330,20230910,   20,10148
  330,20230910,   21,10144
  330,20230910,   22,10138
  330,20230910,   23,10137
  330,20230910,   24,10135
  330,20230911,    1,10130
  330,20230911,    2,10126
  330,20230911,    3,10122
  330,20230911,    4,10118
  330,20230911,    5,10119
  330,20230911,    6,10126
  330,20230911,    7,10130
  330,20230911,    8,10132
  330,20230911,    9,10136
  330,20230911,   10,10139
  330,20230911,   11,10139
  330,20230911,   12,10140
  330,20230911,   13,10139
  330,20230911,   14,10139
  330,20230911,   15,10139
  330,20230911,   16,10129
  330,20230911,   17,10130
  330,20230911,   18,10132
  330,20230911,   19,10134
  330,20230911,   20,10138
  330,20230911,   21,10133
  330,20230911,   22,10134
  330,20230911,   23,10134
  330,20230911,   24,10132
  330,20230912,    1,10129
  330,20230912,    2,10127
  330,20230912,    3,10125
  330,20230912,    4,10124
  330,20230912,    5,10125
  330,20230912,    6,10126
  330,20230912,    7,10129
  330,20230912,    8,10133
  330,20230912,    9,10135
  330,20230912,   10,10137
  330,20230912,   11,10136
  330,20230912,   12,10136
  330,20230912,   13,10134
  330,20230912,   14,10133
  330,20230912,   15,10131
  330,20230912,   16,10128
  330,20230912,   17,10128
  330,20230912,   18,10131
  330,20230912,   19,10133
  330,20230912,   20,10135
  330,20230912,   21,10134
  330,20230912,   22,10135
  330,20230912,   23,10133
  330,20230912,   24,10133
  330,20230913,    1,10132
  330,20230913,    2,10132
  330,20230913,    3,10134
  330,20230913,    4,10135
  330,20230913,    5,10144
  330,20230913,    6,10155
  330,20230913,    7,10164
  330,20230913,    8,10176
  330,20230913,    9,10186
  330,20230913,   10,10193
  330,20230913,   11,10199
  330,20230913,   12,10206
  330,20230913,   13,10210
  330,20230913,   14,10212
  330,20230913,   15,10212
  330,20230913,   16,10213
  330,20230913,   17,10216
  330,20230913,   18,10218
  330,20230913,   19,10222
  330,20230913,   20,10228
  330,20230913,   21,10229
  330,20230913,   22,10229
  330,20230913,   23,10231
  330,20230913,   24,10231
  330,20230914,    1,10230
  330,20230914,    2,10229
  330,20230914,    3,10225
  330,20230914,    4,10224
  330,20230914,    5,10224
  330,20230914,    6,10225
  330,20230914,    7,10226
  330,20230914,    8,10229
  330,20230914,    9,10229
  330,20230914,   10,10228
  330,20230914,   11,10225
  330,20230914,   12,10224
  330,20230914,   13,10221
  330,20230914,   14,10216
  330,20230914,   15,10213
  330,20230914,   16,10210
  330,20230914,   17,10208
  330,20230914,   18,10205
  330,20230914,   19,10207
  330,20230914,   20,10206
  330,20230914,   21,10203
  330,20230914,   22,10202
  330,20230914,   23,10200
  330,20230914,   24,10198
  330,20230915,    1,10196
  330,20230915,    2,10192
  330,20230915,    3,10190
  330,20230915,    4,10186
  330,20230915,    5,10184
  330,20230915,    6,10186
  330,20230915,    7,10186
  330,20230915,    8,10184
  330,20230915,    9,10183
  330,20230915,   10,10179
  330,20230915,   11,10174
  330,20230915,   12,10172
  330,20230915,   13,10166
  330,20230915,   14,10160
  330,20230915,   15,10157
  330,20230915,   16,10152
  330,20230915,   17,10149
  330,20230915,   18,10150
  330,20230915,   19,10151
  330,20230915,   20,10150
  330,20230915,   21,10150
  330,20230915,   22,10150
  330,20230915,   23,10145
  330,20230915,   24,10141
  330,20230916,    1,10140
  330,20230916,    2,10139
  330,20230916,    3,10138
  330,20230916,    4,10134
  330,20230916,    5,10133
  330,20230916,    6,10134
  330,20230916,    7,10139
  330,20230916,    8,10142
  330,20230916,    9,10145
  330,20230916,   10,10146
  330,20230916,   11,10144
  330,20230916,   12,10141
  330,20230916,   13,10140
  330,20230916,   14,10139
  330,20230916,   15,10137
  330,20230916,   16,10138
  330,20230916,   17,10137
  330,20230916,   18,10140
  330,20230916,   19,10143
  330,20230916,   20,10146
  330,20230916,   21,10146
  330,20230916,   22,10147
  330,20230916,   23,10147
  330,20230916,   24,10144
  330,20230917,    1,10140
  330,20230917,    2,10137
  330,20230917,    3,10136
  330,20230917,    4,10135
  330,20230917,    5,10133
  330,20230917,    6,10133
  330,20230917,    7,10132
  330,20230917,    8,10132
  330,20230917,    9,10133
  330,20230917,   10,10129
  330,20230917,   11,10125
  330,20230917,   12,10127
  330,20230917,   13,10123
  330,20230917,   14,10119
  330,20230917,   15,10111
  330,20230917,   16,10111
  330,20230917,   17,10105
  330,20230917,   18,10100
  330,20230917,   19,10093
  330,20230917,   20,10088
  330,20230917,   21,10086
  330,20230917,   22,10076
  330,20230917,   23,10068
  330,20230917,   24,10052
  330,20230918,    1,10036
  330,20230918,    2,10040
  330,20230918,    3,10029
  330,20230918,    4,10030
  330,20230918,    5,10024
  330,20230918,    6,10018
