MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;01:40:00;;259;259;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;01:50:00;;261;261;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;02:00:00;;270;270;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;02:10:00;;255;255;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;02:20:00;;260;260;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;02:30:00;;259;259;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;02:40:00;;258;258;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;02:50:00;;265;265;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;03:00:00;;260;260;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;03:10:00;;250;250;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;03:20:00;;271;271;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;03:30:00;;265;265;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;03:40:00;;224;224;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;03:50:00;;242;242;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;04:00:00;;253;253;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;04:10:00;;245;245;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;04:20:00;;245;245;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;04:30:00;;233;233;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;04:40:00;;229;229;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
;Eurogeul E13;EURGE13;;;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);H1/3;;;;cm;;;Oppervlaktewater;OW;;;Freq/tijd analyse energie en richtingen, methode CIC/GLFPAR;other:F046;Steekbemonstering;SB;20-09-2023;04:50:00;;236;236;Normale waarde;;;;Ongecontroleerd;RIKZ_GOLVEN;Golfmeetboei;108;;;;;-999999999;NVT;25831;550488,856848901;5762316,17226552;;;;;;;
